ID,true_easting,true_northing,easting_off_grid3_se_corner,northing_off_grid3_se_corner
59,698378.3462,4099585.77,-41420.07983,1347.466678
60,702193.8885,4127705.903,-37604.53747,29467.60044
61,684658.4281,4157704.762,-55139.99786,59466.4585
62,698559.1762,4123604.924,-41239.24977,25366.62107
63,679889.2573,4165046.441,-59909.16868,66808.13766
67,679610.5613,4155839.953,-60187.86471,57601.64978
69,723945.2373,4126766.243,-15853.18867,28527.94044
71,669022.5478,4153359.971,-70775.8782,55121.6677
72,731634.4962,4112746.411,-8163.929845,14508.1077
73,705389.1498,4115950.872,-34409.27616,17712.56931
80,717090.8427,4104722.698,-22707.58328,6484.394761
81,702517.7107,4154197.457,-37280.71529,55959.15373
82,692897.1561,4141486.9,-46901.2699,43248.59725
85,686036.9704,4147448.828,-53761.45561,49210.52529
86,711674.8874,4130112.989,-28123.53856,31874.68637
89,724081.8466,4147708.855,-15716.57941,49470.5523
90,671076.2917,4151593.26,-68722.13434,53354.95654
91,736608.417,4112094.899,-3190.008971,13856.59623
92,713598.815,4122032.418,-26199.61099,23794.1146
95,673758.7298,4165272.298,-66039.6962,67033.99522
98,701098.5364,4143093.252,-38699.88956,44854.94901
102,679100.6498,4153470.655,-60697.7762,55232.35186
103,706402.0349,4115344.684,-33396.3911,17106.38094
104,683474.8344,4160076.326,-56323.59159,61838.02342
105,651616.0821,4171393.059,-88182.34389,73154.75558
107,686439.5266,4146420.501,-53358.89943,48182.19833
109,674855.7082,4133119.295,-64942.71781,34880.99163
110,712134.3134,4155682.144,-27664.11259,57443.84114
111,671985.5049,4147733.733,-67812.92113,49495.42989
116,729737.1246,4100077.693,-10061.30143,1839.390048
117,735186.0274,4113890.061,-4612.398605,15651.75815
118,702305.4242,4127646.836,-37493.00183,29408.53295
119,681561.2232,4156174.149,-58237.20282,57935.84568
120,712552.2559,4130308.623,-27246.17008,32070.32034
124,708705.7356,4128892.889,-31092.69039,30654.58561
127,734371.4379,4111462.001,-5426.988098,13223.69815
130,738844.6134,4117242.805,-953.81261,19004.50189
131,723890.4944,4131504.523,-15907.93163,33266.22047
134,710580.2233,4105089.144,-29218.20268,6850.84068
